Entry,Date,Author
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
"siyaset meydani ""genclik ve siyaset"" türü abuk bir ba$likla atv'de yayinlanirken adini hatirlayamadigim bir genc arkada$in söz alarak; ""siz demokrat degil 'demo-kirat'siniz"" dedigi ucubik insan.  ",19.07.2001 02:01 ~ 27.07.2001 03:33,yasinko
"basbakan olunca dogu perincek'i cin'e gonderecek, buyukelci olarak.  ",02.10.2001 22:42,zebercet
"bu adama kim sen siyasete gir demi$se ya da bu kendine guveni kim ona kazandirmi$sa onu imha etmeli aslinda, hayatinizda duyabileceginiz en sacma cumleleri kuran, en manasiz cozumlerle kar$iniza gelen bir adama zaten umursamaz bir tavir takinirsiniz, sorun onun gibileri uretenlerde.  ",27.10.2001 11:08,gotterdamerung
"trtde secim konusmasi yaparken elini masaya tak tak vurarak ""satacam, burayi da satacam"" diye gurlemisligi vardir.  ",30.01.2002 12:26 ~ 04.03.2002 19:44,fodul aynak
kumarhane sahibi parti genel baskani olur mu? oluyormus demek ki.. bi ara e tv'de gazetecinin biriyle memleket kurtariyorlardi. hatta bir programda futbolda ofsayt kuralini kaldirin bakin nasil zevkli bir oyun oluyor demisti amerikan futbolu gibi ki cümleyi bitirmeden coktan zaplamistim...  ,23.02.2000 02:06,kris
"veciz laf: ""ben onlara kulahımı vericem, dertlerini ona anlatacaklar""  ",08.05.2001 23:04 ~ 23:08,sup x
vergi oraninin % 10'da sabitleyerek memleketi duzluge cikaracagini zanneden zihniyet (kaynak ldp.org.tr)  ,08.05.2001 23:19,muzbaligi
türkiye'deki tek klasik liberal partinin genel başkanı.  ,08.05.2001 23:39,vanguard
"liberalizm anlayışı ""sadece ben ve benim gibi düşünenler yaşasın"" olan makyajlı veya kılık değiştirmiş dinoazor.  ",09.07.2001 08:43,brownie
bu ülkedeki ilk ve şimdilik tek gerçek liberal partinin başkanı  ,19.07.2001 01:12,skinoskesava
