Entry,Date,Author
"eski ""yenilikçi"", ""bir ben var benden içerü"" örnegi, pek degerli politik sahsiyet...  ",07.08.2001 17:50 ~ 18.09.2005 03:26,galileo
ayni zamanda eski bir ici$leri bakani.  ,07.08.2001 17:58,dementia
"türkiye büyük millet meclisi 21. dönem milletvekilimeral akşener,  kocaeli gündoğdu - 1956, tahir ömer, sıddıka - istanbul üniversitesi edebiyat  fakültesi tarih bölümü, marmara üniversitesi sosyal bilimler enstitüsü  doktora - ingilizce - tarih doktoru, öğretim görevlisi - yıldız ve kocaeli  üniversiteleri öğretim görevlisi - xx nci dönem istanbul milletvekili -  içişleri eski bakanı - evli, 1 çocuk.  ",21.07.2002 01:34,spinapubica
"tansu çiller'i can siperane kollayan ama sonra onunla yollarını ayıran, sonra mhpye geçen eski asena.mehmet ağar'dan sonra içişleri bakanı omuştu. yani halef-selef olurlar kendileri. korkunç bir pişkinliği ve de tansu çiller'le arasında bir klonlanmışlık ilişkisi vardı. biri anadolu diğeri istanbul han'fendisi gibi takılırlardı. karanlıktı hem de çok. telekulakla milleti dinletirdi. ertuğrul özkök de dinlettikleri arasında yer alıyor.  ",27.08.2003 19:07 ~ 19.11.2006 20:31,itaatsiz
milliyetçi hareket partisi'nden istanbul büyükşehir belediye başkan adayı olmuş. yakışır.  ,22.02.2004 10:53,fair
kocasi ile abdullah catli araciligiyla tanismistir.  ,22.02.2004 13:34,chainsaw
zombiymiş bu.http://www.sezyum.com/…splash/zombiler_aramizda.jpg,21.03.2004 16:18,msc
"mhp istanbul buyuk sehir belediye baskan adayı imis kendileri. "" adı ayse olanlar bilirler"" "" adı mehmet olanlar bilirler"" sloganlı billboard reklamları ile kabuslarımı süslemekte. nedir ayselerin mehmetlerin bildikleri de benim haberim olmayan diyerekten uyku tutmuyor geceleri. bilenler bilmeyenelere anlatsın lutfen.  ",25.03.2004 16:24 ~ 26.10.2006 09:29,kermith
şimdiye kadar içişleri bakanlığı yapmış tek kadın.  ,25.09.2004 21:01 ~ 12.06.2005 01:30,sezgi
1993 yilinda kou'de ataturk ilkeleri ve inkilap tarihi dersimize gelen kisi...  ,21.10.2004 08:39 ~ 08:41,deeprock
chp'ye gönül vermiş birisi olarak cumhurbaşkanlığına adaylığı söz konusu olursa koşarak oy vereceğim etkileyici dişi ve hoş siyasetçi. erkek politikacılara delikanlılık ne demek öğretir en azından.  ,10.03.2014 00:31,antagones
adı devlet değil ama evet devlet gibi kadın. siyasi görüşü ne olursa olsun herkesin saygı duyacağı sempatik siyasetçi. bir de son dönemde tayyibe verilen en güzel ayarı da böyle vermiş. azına sağlık!!  ,11.03.2014 12:16,space cadet
"yavas yavas yazilmaya baslanmis, ben de yetiseyim: cumhurbaskanligina direkt olarak uyacak kisi. super olur, cuk oturur.  ",17.03.2014 00:49,johnny c goode
chp'nin de muhtemel cumhurbaşkanı adayı olabilir diye yorumlar döndü medyada bugün;http://www.radikal.com.tr/…meral_aksener_mi-1181866,18.03.2014 14:56,kralice maud
"böyle tırışka bir ülke için biçilmiş kaftandır kendileri. ""...tansu çiller ve eşi özer çiller çiftinin antalya beldibi'ndeki hazine arazisinde lüks otel inşa etmesini, gelirin şehit annelerine aktarılacağını ilan ederek savundu. ancak peşinden lüks otelin işletmesinin bursalı bir işadamına verildiği ortaya çıktı.""""...pkk lideri abdullah öcalan için 'ermeni dölü' demesi oldu. peşinden bu sözleri nedeniyle özür diledi ve 'ben türkiye'de yaşayan ermenileri değil, genel olarak ermeni ırkını kastettim' cümlesini kurdu.""""milli istihbarat teşkilatı (mit), 1998 yılında firardaki suç örgütü lideri alaattin çakıcı'nın yerini tespit etti. operasyon öncesi çakıcı'nın bir ses kaydı basına yansıdı. ses kaydında çakıcı, akşener'in yakalanmadan önce kendisine yerini değiştirmesi için mesaj gönderdiğini iddia ediyordu.""  ",19.03.2014 13:47,guatr cemo
"tayyip yada abdullah gul'den milyar kere daha iyi bir tercihtir cumhurbaskanligi icin. tayyip'in cumhurbaskani secilip ustune bir de yetkilerini falan arttirmasini, yari baskan/baskan olmasini bir dusunun. kabus.  ",19.03.2014 13:56,turk eli
"(bkz: medyanın gazına gelen saf solcu)cumhurbaşkanlığının gayet yakışacağı bir isim ve yıllardır siyasette, bir ağırlığı var ve hakediyor. bu işin chp'si mhp'si yok, keşke mhp ile beraber ortak aday olarak belirlense de seçilse.emine ülker tarhan vs bu kişilerin de olmasını çok isteriz ama daha yeni siyasete girdiler ve bunun üstüne ek olarak daha tartışılır, konuşulur, her aday da chp'den olacak değil ya?bu solcular ve benzerleri en çok neyden çekiyor biliyor musunuz? böyle her boku kendi bilirmişçesine her şeyin üzerinde incik boncuk araştırıyor, ya ulan bir kerede bir şeye tatava yapma lan! bas geç!  ",19.03.2014 14:11 ~ 14:22,30 kurusa cips geliyor mu bakkal amca
"tam bir ""teyze""dir.  ",19.03.2014 14:13 ~ 14:15,kronikkronik
neden cumhurbaşkanı adayı olmalıdır sorusunun yanıtını bugün meclisin yönetimini elinden alan ak parti hükümeti vermiştir. tartışmanın çok anlamı yok.  ,20.03.2014 00:10,kor arabin mahnisi
her an terlikle vekil kovalayabilirmiş gibi duran dobra siyasetçi.  ,27.03.2014 22:32 ~ 22:34,philosophy
"şu an skyturk televizyonunda gayet mantıklı argümanlarla ve bağırmadan niçin ""hayır"" denmesi gerektiğini anlatandır.  ",01.09.2010 23:11,nediyemmahmutmudiyem
